rosbagTimestamp_in_nanoseconds,header,seq,stamp,secs,nsecs,frame_id,latitude,longitude,altitude,relative_altitude
1639659291735253436,,3944,,1639659291,730109542,'',55.4716339111,10.3260211945,29.9400005341,1.08599996567
1639659291774759652,,3945,,1639659291,770552050,'',55.4716339111,10.3260211945,29.9400005341,1.08500003815
1639659291811487008,,3946,,1639659291,810112122,'',55.4716339111,10.3260211945,29.9400005341,1.08500003815
1639659291850088836,,3947,,1639659291,849189952,'',55.4716339111,10.3260211945,29.9400005341,1.08500003815
1639659291894660513,,3948,,1639659291,892896314,'',55.4716339111,10.3260211945,29.9400005341,1.08399999142
1639659291930615482,,3949,,1639659291,929176116,'',55.4716339111,10.3260211945,29.9400005341,1.08399999142
1639659291972578604,,3950,,1639659291,970357315,'',55.4716339111,10.3260211945,29.9400005341,1.08399999142
1639659292011440433,,3951,,1639659292,10206092,'',55.4716339111,10.3260211945,29.9400005341,1.08299994469
1639659292051230458,,3952,,1639659292,50319158,'',55.4716339111,10.3260211945,29.9400005341,1.08200001717
1639659292093768143,,3953,,1639659292,92725483,'',55.4716339111,10.3260211945,29.9400005341,1.08200001717
1639659292131428815,,3954,,1639659292,130344170,'',55.4716339111,10.3260211945,29.9400005341,1.08099997044
1639659292171572186,,3955,,1639659292,170132115,'',55.4716339111,10.3260211945,29.9400005341,1.08000004292
1639659292210562687,,3956,,1639659292,209238650,'',55.4716339111,10.3260211945,29.9400005341,1.08000004292
1639659292251636174,,3957,,1639659292,250150887,'',55.4716339111,10.3260211945,29.9300003052,1.07899999619
1639659292294724805,,3958,,1639659292,292720316,'',55.4716339111,10.3260211945,29.9300003052,1.07799994946
1639659292332680166,,3959,,1639659292,330367356,'',55.4716339111,10.3260211945,29.9300003052,1.07700002193
1639659292371540235,,3960,,1639659292,370202821,'',55.4716339111,10.3260211945,29.9300003052,1.0759999752
1639659292411028307,,3961,,1639659292,410358832,'',55.4716339111,10.3260211945,29.9300003052,1.07500004768
1639659292451077693,,3962,,1639659292,450099673,'',55.4716339111,10.3260211945,29.9300003052,1.07400000095
1639659292493560145,,3963,,1639659292,492835182,'',55.4716339111,10.3260211945,29.9300003052,1.07299995422
1639659292530955952,,3964,,1639659292,530178029,'',55.4716339111,10.3260211945,29.9300003052,1.07099997997
1639659292570501528,,3965,,1639659292,569306355,'',55.4716339111,10.3260211945,29.9300003052,1.07000005245
1639659292611309734,,3966,,1639659292,610574179,'',55.4716339111,10.3260211945,29.9200000763,1.06900000572
